id	fin_name	eng_name	category	word_class	aaltoprod	aalto85	cslb	mcrae	vinson	cmu	w2v_fin	w2v_eng	homonym_fin	homonym_eng	action_words	COMMENT
3	onnettomuus	accident	abstract_mid	noun	onnettomuus						onnettomuus	accident			0	
9	näyttelijä	actress	human	noun	näyttelijä						näyttelijä	actress			0	
11	etu	advantage	abstract_high	noun	etu	etu					etu	advantage			0	
13	lentokone	airplane	vehicle	noun	lentokone		aeroplane	airplane	AIRPLANE_object	airplane	lento#kone	airplane			0	
14	ikä	age	abstract_high	noun	ikä	ikä					ikä	age			0	
16	albumi	album	text	noun	albumi						albumi	album			0	
27	asunto	apartment	building	noun	asunto			apartment		apartment	asunto	apartment			0	
29	liite	appendix	abstract_mid	noun	liite	liite					liite	appendix			0	
30	omena	apple	fruit	noun	omena		apple	apple	APPLE_object	apple	omena	apple			0	
32	sovellus	application	abstract_high	noun	sovellus						sovellus	application			0	
44	armeija	army	abstract_mid	noun	armeija	armeija					armeija	army			0	
48	artisokka	artichoke	vegetable	noun	artisokka		artichoke		ARTICHOKE_object	artichoke	artisokka	artichoke			0	
53	parsa	asparagus	vegetable	noun	parsa		asparagus	asparagus	ASPARAGUS_object	asparagus	parsa	asparagus			0	
60	kirjailija	author	human	noun	kirjailija						kirjailija	author			0	
63	kirves	axe	tool	noun	kirves		axe	axe	AXE_object	axe	kirves	axes			0	
66	selkä	back	bodypart	noun	selkä	selkä				back	selkä	back			0	
67	tausta	background	abstract_mid	noun	tausta	tausta					tausta	background			0	
70	bakteeri	bacterium	abstract_mid	noun	bakteeri	bakteeri					bakteeri	bacterium			0	category
76	pallo	ball	sport	noun	pallo	pallo	ball	ball		ball	pallo	ball			0	
78	banaani	banana	fruit	noun	banaani		banana	banana	BANANA_object	banana	banaani	banana			0	
103	papu	bean	vegetable	noun	papu		bean	beans	BEAN_object	bean	papu	bean			0	
104	karhu	bear	animal	noun	karhu	karhu	bear	bear	BEAR_object	bear	karhu	bear			0	
106	kauneus	beauty	abstract_high	noun	kauneus	kauneus					kauneus	beauty			0	
125	polkupyörä	bicycle	vehicle	noun	polkupyörä		bicycle	bike	BICYCLE_object	bicycle	polku#pyörä	bicycle			0	
141	veri	blood	bodypart	noun	veri					blood	veri	blood			0	
143	pusero	blouse	clothing	noun	pusero		blouse	blouse	BLOUSE_object	blouse	pusero	blouse			0	
149	vene	boat	vehicle	noun	vene	vene	boat	boat	BOAT_object	boat	vene	boat			0	
153	pommi	bomb	weapon	noun	pommi		bomb	bomb	BOMB_object	bomb	pommi	bomb	pommittaa	BOMB_actionV	0	
157	kirja	book	tool	noun	kirja	kirja	book	book	BOOK_object	book	kirja	book			0	
169	laatikko	box	container	noun	laatikko		box	box	BOX_object	box	laatikko	box			0	
170	poika	boy	human	noun	poika					boy	poika	boy			0	
178	tauko	break	abstract_high	noun	tauko	tauko					tauko	break	rikkoa	BREAK_actionV	0	homonym
186	silta	bridge	building	noun	silta	silta	bridge	bridge		bridge	silta	bridge			0	
188	parsakaali	broccoli	vegetable	noun	parsakaali		broccoli	broccoli	BROCCOLI_object	broccoli	parsa#kaali	broccoli			0	
190	pronssi	bronze	material	noun	pronssi						pronssi	bronze			0	
191	luuta	broom	tool	noun	luuta		broom	broom	BROOM_object	broom	luuta	broom			0	
192	harja	brush	tool	noun	harja		brush	brush	BRUSH_object	brush	harja	brush	harjata	BRUSH_actionV	0	
214	bussi	bus	vehicle	noun	bussi	bussi	bus	bus	BUS_object	bus	bussi	bus			0	
223	kaali	cabbage	vegetable	noun	kaali		cabbage	cabbage	CABBAGE_object	cabbage	kaali	cabbage			0	
234	kameli	camel	animal	noun	kameli		camel	camel	CAMEL_object	camel	kameli	camel			0	
237	leiri	camp	building	noun	leiri					camp	leiri	camp			0	
244	tykki	cannon	weapon	noun	tykki		cannon	cannon		cannon	tykki	cannon			0	
252	auto	car	vehicle	noun	auto	auto	car	car	CAR_object	car	auto	car			0	
254	kortti	card	text	noun	kortti			card_(greeting)		card	kortti	card			0	
260	porkkana	carrot	vegetable	noun	porkkana		carrot	carrot	CARROT_object	carrot	porkkana	carrot			0	
267	linna	castle	building	noun	linna	linna	castle				linna	castle			0	
268	kissa	cat	animal	noun	kissa	kissa	cat	cat	CAT_object	cat	kissa	cat			0	
275	kukkakaali	cauliflower	vegetable	noun	kukkakaali		cauliflower	cauliflower	CAULIFLOWER_object	cauliflower	kukka#kaali	cauliflower			0	
280	selleri	celery	vegetable	noun	selleri		celery	celery	CELERY_object	celery	selleri	celery			0	
291	tuoli	chair	furniture	noun	tuoli		chair	chair	CHAIR_object	chair	tuoli	chair			0	
296	muutos	change	abstract_high	noun	muutos	muutos					muutos	change			0	
