id	fin_name	eng_name	category	word_class	aaltoprod	aalto85	cslb	mcrae	vinson	cmu	w2v_fin	w2v_eng	homonym_fin	homonym_eng	COMMENT
3	onnettomuus	accident	abstract	noun	onnettomuus						onnettomuus	accident			
9	näyttelijä	actress	person	noun	näyttelijä						näyttelijä	actress			
11	etu	advantage	abstract	noun	etu	etu					etu	advantage			
13	lentokone	airplane	vehicle	noun	lentokone		aeroplane	airplane	AIRPLANE_object	airplane	lento#kone	airplane			
14	ikä	age	abstract	noun	ikä	ikä					ikä	age			
16	albumi	album	text	noun	albumi						albumi	album			
27	asunto	apartment	place	noun	asunto			apartment		apartment	asunto	apartment			
29	liite	appendix	abstract	noun	liite	liite					liite	appendix			
30	omena	apple	fruit	noun	omena		apple	apple	APPLE_object	apple	omena	apple			
32	sovellus	application	abstract	noun	sovellus						sovellus	application			
44	armeija	army	abstract	noun	armeija	armeija					armeija	army			
48	artisokka	artichoke	vegetable	noun	artisokka		artichoke		ARTICHOKE_object	artichoke	artisokka	artichoke			
53	parsa	asparagus	vegetable	noun	parsa		asparagus	asparagus	ASPARAGUS_object	asparagus	parsa	asparagus			
60	kirjailija	author	person	noun	kirjailija						kirjailija	author			
63	kirves	axe	tool	noun	kirves		axe	axe	AXE_object	axe	kirves	axes			
66	selkä	back	bodypart	noun	selkä	selkä				back	selkä	back			
67	tausta	background	abstract	noun	tausta	tausta					tausta	background			
70	bakteeri	bacterium	medicine	noun	bakteeri	bakteeri					bakteeri	bacterium			category
76	pallo	ball	sport	noun	pallo	pallo	ball	ball		ball	pallo	ball			
78	banaani	banana	fruit	noun	banaani		banana	banana	BANANA_object	banana	banaani	banana			
103	papu	bean	vegetable	noun	papu		bean	beans	BEAN_object	bean	papu	bean			
104	karhu	bear	animal	noun	karhu	karhu	bear	bear	BEAR_object	bear	karhu	bear			
106	kauneus	beauty	abstract	noun	kauneus	kauneus					kauneus	beauty			
125	polkupyörä	bicycle	vehicle	noun	polkupyörä		bicycle	bike	BICYCLE_object	bicycle	polku#pyörä	bicycle			
141	veri	blood	bodypart	noun	veri					blood	veri	blood			
143	pusero	blouse	clothing	noun	pusero		blouse	blouse	BLOUSE_object	blouse	pusero	blouse			
149	vene	boat	vehicle	noun	vene	vene	boat	boat	BOAT_object	boat	vene	boat			
153	pommi	bomb	weapon	noun	pommi		bomb	bomb	BOMB_object	bomb	pommi	bomb			
157	kirja	book	text	noun	kirja	kirja	book	book	BOOK_object	book	kirja	book			
169	laatikko	box	container	noun	laatikko		box	box	BOX_object	box	laatikko	box			
170	poika	boy	person	noun	poika					boy	poika	boy			
178	tauko	break	abstract	noun	tauko	tauko					tauko	break			
186	0	bridge	place	noun	silta	silta	bridge	bridge		bridge	silta	bridge			
188	0	0	vegetable	noun	parsakaali		broccoli	broccoli	BROCCOLI_object	broccoli	parsa#kaali	broccoli			
190	pronssi	bronze	material	noun	pronssi						pronssi	bronze			
191	0	broom	tool	noun	luuta		broom	broom	BROOM_object	broom	luuta	broom			
192	harja	brush	tool	noun	harja		brush	brush	BRUSH_object	brush	harja	brush			
214	0	0	vehicle	noun	bussi	bussi	bus	bus	BUS_object	bus	bussi	bus			
223	kaali	cabbage	vegetable	noun	kaali		cabbage	cabbage	CABBAGE_object	cabbage	kaali	cabbage			
234	0	0	animal	noun	kameli		camel	camel	CAMEL_object	camel	kameli	camel			
237	0	camp	place	noun	leiri					camp	leiri	camp			
244	tykki	0	weapon	noun	tykki		cannon	cannon		cannon	tykki	cannon			
252	0	0	vehicle	noun	auto	auto	car	car	CAR_object	car	auto	car			
254	0	card	text	noun	kortti			card_(greeting)		card	kortti	card			
259	0	0	vehicle	noun	vaunu		carriage				vaunu	carriage			
260	0	0	vegetable	noun	porkkana		carrot	carrot	CARROT_object	carrot	porkkana	carrot			
267	0	0	place	noun	linna	linna	castle				linna	castle			
268	0	0	animal	noun	kissa	kissa	cat	cat	CAT_object	cat	kissa	cat			
275	0	0	vegetable	noun	kukkakaali		cauliflower	cauliflower	CAULIFLOWER_object	cauliflower	kukka#kaali	cauliflower			
280	selleri	0	vegetable	noun	selleri		celery	celery	CELERY_object	celery	selleri	celery			
291	0	0	furniture	noun	tuoli		chair	chair	CHAIR_object	chair	tuoli	chair			
296	0	change	abstract	noun	muutos	muutos					muutos	change			
298	kaaos	chaos	abstract	noun	kaaos						kaaos	chaos			
306	0	0	fruit	noun	kirsikka		cherry	cherry	CHERRY_object	cherry	kirsikka	cherry			
311	0	child	person	noun	lapsi	lapsi				child	lapsi	child			
325	0	0	place	noun	kirkko	kirkko		church		church	kirkko	church			
348	0	0	nature	noun	pilvi	pilvi				cloud	pilvi	cloud			
352	takki	coat	clothing	noun	takki		coat	coat	COAT_object	coat	takki	coat			
371	0	comb	tool	noun	kampa	kampa	comb	comb	COMB_object	comb	kampa	comb			
375	0	community	social	noun	yhteisö						yhteisö	community			
377	0	concert	social	noun	konsertti						konsertti	concert			
386	maissi	0	food	noun	maissi		corn	corn	CORN_object	corn	maissi	corn			
397	lehmä	0	animal	noun	lehmä		cow	cow	COW_object	cow	lehmä	cow			
411	0	creature	person	noun	olio						olio	creature			
424	0	0	vegetable	noun	kurkku		cucumber	cucumber	CUCUMBER_object	cucumber	kurkku	cucumber			
442	tytär	daughter	person	noun	tytär						tytär	daughter			
448	demokratia	democracy	abstract	noun	demokratia	demokratia					demokratia	democracy			
462	ulottuvuus	dimension	abstract	noun	ulottuvuus						ulottuvuus	dimension			
474	koira	dog	animal	noun	koira	koira	dog	dog	DOG_object	dog	koira	dog			
481	aasi	donkey	animal	noun	aasi		donkey	donkey	DONKEY_object	donkey	aasi	donkey			
482	ovi	door	furniture	noun	ovi			door	DOOR_object	door	ovi	door			
493	haave	dream	abstract	noun	haave						haave				noun & verb
494	uni	dream	abstract	noun	uni						uni	dream			noun & verb
495	mekko	dress	clothing	noun	mekko		dress	dress	DRESS_object	dress	mekko	dress			noun & verb
498	pora	drill	tool	noun	pora	pora	drill	drill	DRILL_object		pora	drill			noun & verb
507	ankka	duck	bird	noun	ankka	ankka	duck	duck	DUCK_object	duck	ankka	duck			
512	kotka	eagle	bird	noun	kotka	kotka	eagle	eagle		eagle	kotka	eagle			
513	korva	ear	bodypart	noun	korva	korva	ear		EAR_object	ear	korva	ear			
518	maapallo	earth	nature	noun	maapallo					earth	maa#pallo	earth			
521	koulutus	education	abstract	noun	koulutus						koulutus	education			
526	norsu	elephant	animal	noun	norsu		elephant	elephant	ELEPHANT_object	elephant	norsu	elephant			
534	loppu	end	abstract	noun	loppu						loppu	end			
535	veturi	engine	vehicle	noun	veturi					engine	veturi	engine			
540	purkaus	eruption	abstract	noun	purkaus	purkaus					purkaus	eruption			
546	tapahtuma	event	social	noun	tapahtuma						tapahtuma	event			
547	todiste	evidence	abstract	noun	todiste	todiste					todiste	evidence			
550	kokemus	experience	abstract	noun	kokemus	kokemus					kokemus	experience			
551	koe	experiment	abstract	noun	koe						koe	experiment			
552	ilme	expression	action	noun	ilme	ilme					ilme	expression			
553	silmä	eye	bodypart	noun	silmä	silmä	eye		EYE_object	eye	silmä	eye			
558	tehdas	factory	place	noun	tehdas	tehdas				factory	tehdas	factory			
559	kohtalo	faith	abstract	noun	kohtalo	kohtalo					kohtalo	faith			
565	isä	father	person	noun	isä						isä	father			
571	naaras	female	abstract	noun	naaras						naaras	female			
572	aita	fence	furniture	noun	aita		fence	fence	FENCE_object	fence	aita	fence			
580	sormi	finger	bodypart	noun	sormi	sormi	finger		FINGER_object	finger	sormi	finger			
583	tuli	fire	nature	noun	tuli	tuli				fire	tuli	fire			
614	haarukka	fork	tool	noun	haarukka		fork	fork	FORK_object	fork	haarukka	fork			
615	kettu	fox	animal	noun	kettu		fox	fox	FOX_object	fox	kettu	fox			
618	vapaus	freedom	abstract	noun	vapaus	vapaus					vapaus	freedom			
621	kitka	friction	abstract	noun	kitka	kitka					kitka	friction			
622	ystävä	friend	person	noun	ystävä						ystävä	friend			
631	polttoaine	fuel	material	noun	polttoaine					fuel	poltto#aine	fuel			
632	rahoitus	funding	abstract	noun	rahoitus						rahoitus	funding			
642	kaasu	gas	material	noun	kaasu					gas	kaasu	gas			
643	portti	gate	furniture	noun	portti		gate	gate	GATE_object	gate	portti	gate			
645	vaihde	gear	abstract	noun	vaihde						vaihde	gear			
646	geeni	gene	abstract	noun	geeni	geeni					geeni	gene			
654	kirahvi	giraffe	animal	noun	kirahvi		giraffe	giraffe	GIRAFFE_object	giraffe	kirahvi	giraffe			
657	jäätikkö	glacier	nature	noun	jäätikkö					glacier	jäätikkö	glacier			
660	käsine	glove	clothing	noun	käsine		gloves	gloves	GLOVE_object	glove	käsine	glove			
665	vuohi	goat	animal	noun	vuohi		goat	goat	GOAT_object	goat	vuohi	goat			
676	viinirypäle	grape	fruit	noun	viinirypäle		grape	grape	GRAPE_object	grape	rypäle	grape			
677	greippi	grapefruit	fruit	noun	greippi		grapefruit	grapefruit	GRAPEFRUIT_object	grapefruit	greippi	grapefruit			typo in AaltoProd
694	ryhmä	group	social	noun	ryhmä						ryhmä	group			
699	kitara	guitar	instrument	noun	kitara		guitar	guitar		guitar	kitara	guitar			
701	ase	gun	weapon	noun	ase		gun	gun	GUN_object	gun	ase	gun			
705	hiukset	hair	bodypart	noun	hiukset		hair		HAIR_object	hair	hius	hair			
710	vasara	hammer	tool	noun	vasara		hammer	hammer	HAMMER_object	hammer	vasara	hammer			noun & verb
713	käsi	hand	bodypart	noun	käsi	käsi			HAND_object	hand	käsi	hand			
728	pää	head	bodypart	noun	pää				HEAD_object	head	pää	head			
735	helikopteri	helicopter	vehicle	noun	helikopteri		helicopter	helicopter	HELICOPTER_object	helicopter	helikopteri	helicopter			
744	vaellus	hike	sport	noun	vaellus						vaellus	hike			
