eng_name	fin_name	category	word_class
accident	onnettomuus	abstract_mid	noun
actress	näyttelijä	human	noun
advantage	etu	abstract_high	noun
airplane	lentokone	vehicle	noun
age	ikä	abstract_high	noun
album	albumi	text	noun
apartment	asunto	building	noun
appendix	liite	abstract_mid	noun
apple	omena	fruit	noun
application	sovellus	abstract_high	noun
army	armeija	abstract_mid	noun
artichoke	artisokka	vegetable	noun
asparagus	parsa	vegetable	noun
author	kirjailija	human	noun
axe	kirves	tool	noun
back	selkä	bodypart	noun
background	tausta	abstract_mid	noun
bacterium	bakteeri	abstract_mid	noun
ball	pallo	sport	noun
banana	banaani	fruit	noun
bean	papu	vegetable	noun
bear	karhu	animal	noun
beauty	kauneus	abstract_high	noun
bicycle	polkupyörä	vehicle	noun
blood	veri	bodypart	noun
blouse	pusero	clothing	noun
boat	vene	vehicle	noun
bomb	pommi	weapon	noun
book	kirja	tool	noun
box	laatikko	container	noun
boy	poika	human	noun
break	tauko	abstract_high	noun
bridge	silta	building	noun
broccoli	parsakaali	vegetable	noun
bronze	pronssi	material	noun
broom	luuta	tool	noun
brush	harja	tool	noun
bus	bussi	vehicle	noun
cabbage	kaali	vegetable	noun
camel	kameli	animal	noun
camp	leiri	building	noun
cannon	tykki	weapon	noun
car	auto	vehicle	noun
card	kortti	text	noun
carrot	porkkana	vegetable	noun
castle	linna	building	noun
cat	kissa	animal	noun
cauliflower	kukkakaali	vegetable	noun
celery	selleri	vegetable	noun
chair	tuoli	furniture	noun
change	muutos	abstract_high	noun
chaos	kaaos	abstract_high	noun
cherry	kirsikka	fruit	noun
child	lapsi	human	noun
church	kirkko	building	noun
cloud	pilvi	nature	noun
coat	takki	clothing	noun
comb	kampa	tool	noun
community	yhteisö	abstract_mid	noun
concert	konsertti	abstract_mid	noun
corn	maissi	vegetable	noun
cow	lehmä	animal	noun
creature	olio	abstract_mid	noun
cucumber	kurkku	vegetable	noun
daughter	tytär	human	noun
democracy	demokratia	abstract_high	noun
dimension	ulottuvuus	abstract_high	noun
dog	koira	animal	noun
donkey	aasi	animal	noun
door	ovi	furniture	noun
dream	haave	abstract_high	noun
dream	uni	abstract_mid	noun
dress	mekko	clothing	noun
drill	pora	tool	noun
duck	ankka	animal	noun
eagle	kotka	animal	noun
ear	korva	bodypart	noun
earth	maapallo	nature	noun
education	koulutus	abstract_high	noun
elephant	norsu	animal	noun
end	loppu	abstract_high	noun
engine	veturi	vehicle	noun
eruption	purkaus	abstract_mid	noun
event	tapahtuma	abstract_mid	noun
evidence	todiste	abstract_mid	noun
experience	kokemus	abstract_high	noun
experiment	koe	abstract_mid	noun
expression	ilme	abstract_mid	noun
eye	silmä	bodypart	noun
factory	tehdas	building	noun
faith	kohtalo	abstract_high	noun
father	isä	human	noun
female	naaras	abstract_mid	noun
fence	aita	building	noun
finger	sormi	bodypart	noun
fire	tuli	nature	noun
fork	haarukka	tool	noun
fox	kettu	animal	noun
freedom	vapaus	abstract_high	noun
friction	kitka	abstract_mid	noun
friend	ystävä	human	noun
fuel	polttoaine	material	noun
funding	rahoitus	abstract_high	noun
gas	kaasu	material	noun
gate	portti	building	noun
gear	vaihde	abstract_mid	noun
gene	geeni	abstract_mid	noun
giraffe	kirahvi	animal	noun
