eng_name	fin_name	category	word_class
airplane	lentokone	vehicle	noun
apple	omena	fruit	noun
asparagus	parsa	vegetable	noun
axe	kirves	tool	noun
banana	banaani	fruit	noun
bean	papu	vegetable	noun
bear	karhu	animal	noun
bicycle	polkupyörä	vehicle	noun
blouse	pusero	clothing	noun
boat	vene	vehicle	noun
bomb	pommi	weapon	noun
book	kirja	tool	noun
box	laatikko	container	noun
broccoli	parsakaali	vegetable	noun
broom	luuta	tool	noun
brush	harja	tool	noun
bus	bussi	vehicle	noun
cabbage	kaali	vegetable	noun
camel	kameli	animal	noun
car	auto	vehicle	noun
carrot	porkkana	vegetable	noun
cat	kissa	animal	noun
cauliflower	kukkakaali	vegetable	noun
celery	selleri	vegetable	noun
chair	tuoli	furniture	noun
cherry	kirsikka	fruit	noun
coat	takki	clothing	noun
comb	kampa	tool	noun
corn	maissi	vegetable	noun
cow	lehmä	animal	noun
cucumber	kurkku	vegetable	noun
dog	koira	animal	noun
donkey	aasi	animal	noun
dress	mekko	clothing	noun
duck	ankka	animal	noun
elephant	norsu	animal	noun
fence	aita	building	noun
fork	haarukka	tool	noun
fox	kettu	animal	noun
gate	portti	building	noun
giraffe	kirahvi	animal	noun
glove	käsine	clothing	noun
goat	vuohi	animal	noun
grape	viinirypäle	fruit	noun
grapefruit	greippi	fruit	noun
gun	ase	weapon	noun
hammer	vasara	tool	noun
helicopter	helikopteri	vehicle	noun
hoe	kuokka	tool	noun
horse	hevonen	animal	noun
knife	puukko	tool	noun
knife	veitsi	tool	noun
lemon	sitruuna	fruit	noun
lime	lime	fruit	noun
lion	leijona	animal	noun
mushroom	sieni	vegetable	noun
onion	sipuli	vegetable	noun
peach	persikka	fruit	noun
pear	päärynä	fruit	noun
pig	sika	animal	noun
pineapple	ananas	fruit	noun
pliers	pihdit	tool	noun
potato	peruna	vegetable	noun
pumpkin	kurpitsa	vegetable	noun
rabbit	kani	animal	noun
rake	harava	tool	noun
raspberry	vadelma	fruit	noun
scarf	huivi	clothing	noun
scissors	sakset	tool	noun
sheep	lammas	animal	noun
ship	laiva	vehicle	noun
shirt	paita	clothing	noun
shoe	kenkä	clothing	noun
shovel	lapio	tool	noun
skirt	hame	clothing	noun
sock	sukka	clothing	noun
spoon	lusikka	tool	noun
strawberry	mansikka	fruit	noun
sweater	villapaita	clothing	noun
sword	miekka	tool	noun
tiger	tiikeri	animal	noun
train	juna	vehicle	noun
truck	rekka	vehicle	noun
van	pakettiauto	vehicle	noun
zebra	seepra	animal	noun
