eng_name	fin_name	category	word_class
bear	karhu	animal	noun
cat	kissa	animal	noun
cow	lehmä	animal	noun
dog	koira	animal	noun
horse	hevonen	animal	noun
arm	käsivarsi	bodypart	noun
eye	silmä	bodypart	noun
foot	jalkaterä	bodypart	noun
hand	käsi	bodypart	noun
leg	jalka	bodypart	noun
apartment	asunto	building	noun
barn	aitta	place	noun
church	kirkko	building	noun
house	talo	place	noun
igloo	iglu	place	noun
arch	kaari	abstract_low	noun
chimney	savupiippu	furniture	noun
closet	komero	furniture	noun
door	ovi	furniture	noun
window	ikkuna	furniture	noun
coat	takki	clothing	noun
dress	mekko	clothing	noun
trousers	housut	clothing	noun
shirt	paita	clothing	noun
skirt	hame	clothing	noun
bed	sänky	furniture	noun
chair	tuoli	furniture	noun
desk	työpöytä	furniture	noun
dresser	astiakaappi	furniture	noun
table	pöytä	furniture	noun
ant	muurahainen	insect	noun
bee	mehiläinen	insect	noun
beetle	kovakuoriainen	insect	noun
butterfly	perhonen	insect	noun
flying	lentää	action	verb
bottle	pullo	container	noun
cup	kuppi	tool	noun
glass	lasi	material	noun
knife	veitsi	tool	noun
spoon	lusikka	tool	noun
bell	soittokello	instrument	noun
key	avain	tool	noun
refrigerator	jääkaappi	appliance	noun
telephone	puhelin	appliance	noun
watch	rannekello	accessory	noun
chisel	taltta	tool	noun
hammer	vasara	tool	noun
pliers	pihdit	tool	noun
saw	saha	tool	noun
screwdriver	ruuvimeisseli	tool	noun
carrot	porkkana	vegetable	noun
celery	selleri	vegetable	noun
corn	maissi	vegetable	noun
lettuce	lehtisalaatti	vegetable	noun
tomato	tomaatti	vegetable	noun
airplane	lentokone	vehicle	noun
bicycle	polkupyörä	vehicle	noun
car	auto	vehicle	noun
train	juna	vehicle	noun
truck	rekka	vehicle	noun
wax	vaha	material	noun
chain	ketju	tool	noun
wall	muuri	building	noun
speck	tuhru	abstract_low	noun
card	kortti	text	noun
honey	hunaja	food	noun
trail	polku	nature	noun
sofa	sohva	furniture	noun
walrus	mursu	animal	noun
pizza	pitsa	food	noun
surf	surffaus	sport	noun
typewriter	kirjoituskone	appliance	noun
powder	jauhe	material	noun
shark	hai	waterlife	noun
scar	arpi	medicine	noun
pipe	putki	furniture	noun
chin	leuka	bodypart	noun
reptile	matelija	animal	noun
artichoke	artisokka	vegetable	noun
backpack	reppu	accessory	noun
bomb	pommi	weapon	noun
