id	fin_name	eng_name	category	word_class	aaltoprod	aalto85	cslb	mcrae	vinson	cmu	w2v_fin	w2v_eng	homonym_fin	homonym_eng	COMMENT
4	harmonikka	accordion	instrument	noun			accordion	accordion		accordion	harmonikka	accordion			
13	lentokone	airplane	vehicle	noun	lentokone		aeroplane	airplane	AIRPLANE_object	airplane	lento#kone	airplane			
19	alligaattori	alligator	animal	noun			alligator	alligator		alligator	alligaattori	alligator			
21	ambulanssi	ambulance	vehicle	noun			ambulance	ambulance		ambulance	ambulanssi	ambulance			
22	ankkuri	anchor	tool	noun			anchor	anchor		anchor	ankkuri	anchor			
24	muurahainen	ant	insect	noun			ant	ant		ant	muurahainen	ant			
30	omena	apple	fruit	noun	omena		apple	apple	APPLE_object	apple	omena	apple			
35	aprikoosi	apricot	fruit	noun			apricot				aprikoosi	apricot			
36	esiliina	apron	clothing	noun			apron	apron			esi#liina	apron			
40	käsivarsi	arm	bodypart	noun			arm		ARM_object	arm	käsi#varsi	arm			
41	nojatuoli	armchair	furniture	noun			armchair				noja#tuoli	armchair			
42	panssari	armour	other	noun			armour	armour			panssari	armor			
47	nuoli	arrow	tool	noun			arrow			arrow	nuoli	arrow			ambiguous category
48	artisokka	artichoke	vegetable	noun	artisokka		artichoke		ARTICHOKE_object	artichoke	artisokka	artichoke			
51	tuhkakuppi	ashtray	container	noun			ashtray	ashtray		ashtray	tuhka#kuppi	ashtray			
53	parsa	asparagus	vegetable	noun	parsa		asparagus	asparagus	ASPARAGUS_object	asparagus	parsa	asparagus			
55	aspiriini	aspirin	medicine	noun			aspirin			aspirin	aspiriini	aspirin			
58	munakoiso	aubergine	vegetable	noun			aubergine	eggplant	EGGPLANT_object	eggplant	muna#koiso	aubergine			
62	avokado	avocado	fruit	noun			avocado	avocado			avokado	avocado			
63	kirves	axe	tool	noun	kirves		axe	axe	AXE_object	axe	kirves	axes			
69	pekoni	bacon	food	noun			bacon			bacon	pekoni	bacon			
71	nimikyltti	badge	accessory	noun			badge				nimi#kyltti	badge			
72	laukku	bag	accessory	noun			bag	bag			laukku	bag			
74	säkkipilli	bagpipe	instrument	noun			bagpipes	bagpipe			säkki#pilli	bagpipe			
76	pallo	ball	sport	noun	pallo	pallo	ball	ball		ball	pallo	ball			
77	ilmapallo	balloon	toy	noun			balloon	balloon		balloon	ilma#pallo	balloon			
78	banaani	banana	fruit	noun	banaani		banana	banana	BANANA_object	banana	banaani	banana			
81	banjo	banjo	instrument	noun			banjo	banjo			banjo	banjo			
84	proomu	barge	vehicle	noun			barge				proomu	barge			
88	tynnyri	barrel	artifact	noun			barrel	barrel		barrel	tynnyri	barrel			
90	lavuaari	basin	furniture	noun			basin			basin	lavuaari	basin			
91	kori	basket	sport	noun			basket	basket		basket	kori	basket			
92	lepakko	bat	animal	noun			bat_(animal)	bat_(animal)			lepakko	bat			homonym
93	maila	bat	sport	noun			bat_(sporting)	bat_(baseball)			maila				homonym
94	kylpy	bath	other	noun			bath				kylpy	bath			
99	pistin	bayonet	weapon	noun			bayonet	bayonet			pistin	bayonet			
103	papu	bean	vegetable	noun	papu		bean	beans	BEAN_object	bean	papu	bean			
104	karhu	bear	animal	noun	karhu	karhu	bear	bear	BEAR_object	bear	karhu	bear			
107	majava	beaver	animal	noun			beaver	beaver			majava	beaver			
108	sänky	bed	furniture	noun			bed	bed		bed	sänky	bed			
110	mehiläinen	bee	insect	noun			bee			bee	mehiläinen	bee			
113	olut	beer	drink	noun			beer			beer	olut	beer			
115	kovakuoriainen	beetle	insect	noun			beetle	beetle		beetle	kovakuoriainen	beetle			
116	soittokello	bell	instrument	noun			bell			bell	soitto#kello	bell			
117	palje	bellows	tool	noun			bellows				palje	bellows			
119	vyö	belt	clothing	noun			belt	belt	BELT_object	belt	vyö	belt			
120	penkki	bench	furniture	noun			bench	bench		bench	penkki	bench			
125	polkupyörä	bicycle	vehicle	noun	polkupyörä		bicycle	bike	BICYCLE_object	bicycle	polku#pyörä	bicycle			
126	bikini	bikini	clothing	noun			bikini				bikini	bikini			
128	roskakori	bin	furniture	noun			bin	bin_(waste)		bin	roska#kori	bin			
129	koivu	birch	plant	noun			birch	birch		birch	koivu	birch			
131	keksi	biscuit	food	noun			biscuit	biscuit		biscuit	keksi	biscuit			
138	tehosekoitin	blender	appliance	noun			blender	blender			teho#sekoitin	blender			
143	pusero	blouse	clothing	noun	pusero		blouse	blouse	BLOUSE_object	blouse	pusero	blouse			
144	mustikka	blueberry	fruit	noun			blueberry	blueberry		blueberry	mustikka	blueberry			
149	vene	boat	vehicle	noun	vene	vene	boat	boat	BOAT_object	boat	vene	boat			
152	pultti	bolts	tool	noun			bolts	bolts			pultti	bolts			
153	pommi	bomb	weapon	noun	pommi		bomb	bomb	BOMB_object	bomb	pommi	bomb			
156	luu	bone	bodypart	noun			bone			bone	luu	bone			
157	kirja	book	text	noun	kirja	kirja	book	book	BOOK_object	book	kirja	book			
158	kirjahylly	bookcase	furniture	noun			bookcase	bookcase			kirja#hylly	bookcase			
159	bumerangi	boomerang	sport	noun			boomerang				bumerangi	boomerang			
160	saapas	boot	clothing	noun			boots	boots		boot	saapas	boot			
161	pullo	bottle	container	noun			bottle	bottle		bottle	pullo	bottle			
165	kukkakimppu	bouquet	artifact	noun			bouquet	bouquet		bouquet	kukka#kimppu	bouquet			category
167	jousipyssy	bow	weapon	noun			bow_(weapon)	bow_(weapon)			jousi#pyssy				homonym
168	kulho	bowl	container	noun			bowl	bowl		bowl	kulho	bowl			
169	laatikko	box	container	noun	laatikko		box	box	BOX_object	box	laatikko	box			
171	rintaliivit	bra	clothing	noun			bra	bra		bra	rinta#liivit	bra			
172	rannekoru	bracelet	clothing	noun			bracelet	bracelet		bracelet	ranne#koru	bracelet			
176	brandy	0	drink	noun			brandy				brandy	brandy			
177	leipä	0	food	noun			bread	bread		bread	leipä	bread			
185	tiili	0	artifact	noun			brick	brick		brick	tiili	brick			
186	0	bridge	place	noun	silta	silta	bridge	bridge		bridge	silta	bridge			
188	0	0	vegetable	noun	parsakaali		broccoli	broccoli	BROCCOLI_object	broccoli	parsa#kaali	broccoli			
189	mainos	0	text	noun			brochure				mainos	brochure			
191	0	broom	tool	noun	luuta		broom	broom	BROOM_object	broom	luuta	broom			
192	harja	brush	tool	noun	harja		brush	brush	BRUSH_object	brush	harja	brush			
194	ruusukaali	brussel_sprouts	vegetable	noun			brussel_sprouts				ruusu#kaali	brussel_sprouts			
196	ämpäri	0	container	noun			bucket	bucket		bucket	ämpäri	bucket			
197	solki	0	clothing	noun			buckle	buckle			solki	buckle			
198	undulaatti	0	bird	noun			budgie	budgie			undulaatti	budgie			
199	puhveli	0	animal	noun			buffalo	buffalo		buffalo	puhveli	buffalo			
200	vaunut	0	vehicle	noun			buggy	buggy				buggy			translation?
205	luoti	0	weapon	noun			bullet	bullet		bullet	luoti	bullet			
214	0	0	vehicle	noun	bussi	bussi	bus	bus	BUS_object	bus	bussi	bus			
216	voi	0	food	noun			butter			butter	voi	butter			
217	leinikki	0	plant	noun			buttercup				leinikki	buttercup			
218	perhonen	0	insect	noun			butterfly	butterfly		butterfly	perhonen	butterfly			
220	nappi	0	tool	noun			button			button	nappi	button			
222	haukka	0	bird	noun			buzzard	buzzard				buzzard			
223	kaali	cabbage	vegetable	noun	kaali		cabbage	cabbage	CABBAGE_object	cabbage	kaali	cabbage			
228	häkki	0	place	noun			cage	cage		cage	häkki	cage			
229	kakku	0	food	noun			cake	cake		cake	kakku	cake			
231	vasikka	0	animal	noun			calf	calf		calf	vasikka	calf			
234	0	0	animal	noun	kameli		camel	camel	CAMEL_object	camel	kameli	camel			
235	kamera	0	appliance	noun			camera			camera	kamera	camera			
238	tölkinavaaja	0	tool	noun			can_opener				tölkki#avaaja	opener			doesn't have a good match, alternative tin_cans  
240	kanarialintu	0	bird	noun			canary	canary			kanarialintu	canary			
242	kynttilä	0	artifact	noun			candle	candle		candle	kynttilä	candle			
244	tykki	0	weapon	noun	tykki		cannon	cannon		cannon	tykki	cannon			
245	kanootti	0	vehicle	noun			canoe	canoe			kanootti	canoe			
249	lippalakki	cap	clothing	noun			cap	cap_(hat)			lippa#lakki	cap			homonym
250	hartiaviitta	0	clothing	noun			cape	cape			viitta	cape			
252	0	0	vehicle	noun	auto	auto	car	car	CAR_object	car	auto	car			
253	matkailuauto	0	vehicle	noun			caravan				matkailu#auto	caravan			
256	tarhaneilikka	0	plant	noun			carnation			carnation	neilikka	carnation			
257	karppi	0	waterlife	noun			carp				karppi	carp			
259	0	0	vehicle	noun	vaunu		carriage				vaunu	carriage			
260	0	0	vegetable	noun	porkkana		carrot	carrot	CARROT_object	carrot	porkkana	carrot			
262	ostoskärry	0	vehicle	noun			cart	cart			ostoskärry	cart			
266	kastanjetit	0	instrument	noun			castenets				kastanjetit	castanets			
267	0	0	place	noun	linna	linna	castle				linna	castle			
268	0	0	animal	noun	kissa	kissa	cat	cat	CAT_object	cat	kissa	cat			
269	katalogi	0	text	noun			catalogue				katalogi	Catalogue			ambiguous category
270	katapultti	0	weapon	noun			catapault	catapult			katapultti	catapault			
271	perhosentoukka	0	insect	noun			caterpillar	caterpillar		caterpillar	perhosen#toukka	caterpillar			
275	0	0	vegetable	noun	kukkakaali		cauliflower	cauliflower	CAULIFLOWER_object	cauliflower	kukka#kaali	cauliflower			
280	selleri	0	vegetable	noun	selleri		celery	celery	CELERY_object	celery	selleri	celery			
282	sello	cello	instrument	noun			cello	cello			sello	cello			
286	juoksujalkainen	centipede	insect	noun			centipede				juoksu#jalkainen	centipede			
288	sertifikaatti	0	abstract	noun			certificate	certificate		certificate	sertifikaatti	certificate			
289	ketju	0	tool	noun			chain	chain		chain	ketju	chain			
290	moottorisaha	chainsaw	tool	noun			chainsaw				moottori#saha	chainsaw			
291	0	0	furniture	noun	tuoli		chair	chair	CHAIR_object	chair	tuoli	chair			
294	shampanja	champagne	drink	noun			champagne				shampanja	champagne			
295	kattokruunu	chandelier	furniture	noun			chandelier	chandelier			katto#kruunu	chandelier			
304	juusto	0	food	noun			cheese	cheese		cheese	juusto	cheese			
305	gepardi	cheetah	animal	noun			cheetah	cheetah			gepardi	cheetah			
306	0	0	fruit	noun	kirsikka		cherry	cherry	CHERRY_object	cherry	kirsikka	cherry			
307	lipasto	chest_of_drawers	furniture	noun			chest_of_drawers				lipasto	drawers			
308	kastanja	0	plant	noun			chestnut			chestnut	kastanja	chestnut			
310	kananpoika	0	bird	noun			chicken	chicken		chicken	kanan#poika	chicken			
318	maaorava	chipmunk	animal	noun			chipmunk	chipmunk			maa#orava	chipmunk			
321	taltta	0	tool	noun			chisel	chisel	CHISEL_object	chisel	taltta	chisel			
322	suklaa	0	food	noun			chocolate			chocolate	suklaa	chocolate			
326	siideri	0	food	noun			cider			cider	siideri	cider			
327	sikari	0	food	noun			cigar	cigar		cigar	sikari	cigar			
328	savuke	0	food	noun			cigarette	cigarette		cigarette	savuke	cigarette			
332	simpukka	0	waterlife	noun			clam	clam		clam	simpukka	clam			
333	puristin	clamp	tool	noun			clamp	clamp			puristin	clamp			
336	klarinetti	clarinet	instrument	noun			clarinet	clarinet			klarinetti	clarinet			
342	viitta	cloak	clothing	noun			cloak	cloak				cloak			
343	kello	0	appliance	noun			clock	clock		clock	kello	clock			
350	klubi	0	social	noun			club			club	klubi	club			
351	linja-auto	coach	vehicle	noun			coach_(vehicle)				linja-auto	coach			
352	takki	coat	clothing	noun	takki		coat	coat	COAT_object	coat	takki	coat			
354	kukonpoika	cockerel	bird	noun			cockerel				kukon#poika	cockerel			
356	torakka	0	insect	noun			cockroach	cockroach		cockroach	torakka	cockroach			
358	kookos	coconut	fruit	noun			coconut	coconut			kookos	coconut			
359	turska	cod	waterlife	noun			cod	cod			turska	cod			
360	kodeiini	codeine	medicine	noun			codeine				kodeiini	codeine			
361	kahvi	0	food	noun			coffee			coffee	kahvi	coffee			
362	kahvinkeitin	coffee_machine	appliance	noun			coffee_machine				kahvin#keitin	coffeemaker			
363	kahvikannu	coffee_pot	container	noun			coffee_pot				kahvi#kannu				
364	arkku	0	container	noun			coffin			coffin	arkku	coffin			
365	kolikko	0	artifact	noun			coin	coin		coin	kolikko	coin			
367	lävikkö	colander	tool	noun			colander	colander			lävikkö	colander			
