eng_name	fin_name	category	word_class
accordion	harmonikka	instrument	noun
airplane	lentokone	vehicle	noun
alligator	alligaattori	animal	noun
ambulance	ambulanssi	vehicle	noun
anchor	ankkuri	tool	noun
ant	muurahainen	insect	noun
apple	omena	fruit	noun
apricot	aprikoosi	fruit	noun
apron	esiliina	clothing	noun
arm	käsivarsi	bodypart	noun
armchair	nojatuoli	furniture	noun
armour	panssari	weapon	noun
arrow	nuoli	tool	noun
artichoke	artisokka	vegetable	noun
ashtray	tuhkakuppi	container	noun
asparagus	parsa	vegetable	noun
aspirin	aspiriini	medicine	noun
aubergine	munakoiso	vegetable	noun
avocado	avokado	fruit	noun
axe	kirves	tool	noun
bacon	pekoni	food	noun
badge	nimikyltti	accessory	noun
bag	laukku	accessory	noun
bagpipe	säkkipilli	instrument	noun
ball	pallo	sport	noun
balloon	ilmapallo	toy	noun
banana	banaani	fruit	noun
banjo	banjo	instrument	noun
barge	proomu	vehicle	noun
barrel	tynnyri	container	noun
basin	lavuaari	furniture	noun
basket	kori	sport	noun
bat	lepakko	animal	noun
bat	maila	sport	noun
bath	kylpy	abstract_low	noun
bayonet	pistin	weapon	noun
bean	papu	vegetable	noun
bear	karhu	animal	noun
beaver	majava	animal	noun
bed	sänky	furniture	noun
bee	mehiläinen	insect	noun
beer	olut	drink	noun
beetle	kovakuoriainen	insect	noun
bell	soittokello	instrument	noun
bellows	palje	tool	noun
belt	vyö	clothing	noun
bench	penkki	furniture	noun
bicycle	polkupyörä	vehicle	noun
bikini	bikini	clothing	noun
bin	roskakori	furniture	noun
birch	koivu	plant	noun
biscuit	keksi	food	noun
blender	tehosekoitin	appliance	noun
blouse	pusero	clothing	noun
blueberry	mustikka	fruit	noun
boat	vene	vehicle	noun
bolts	pultti	tool	noun
bomb	pommi	weapon	noun
bone	luu	bodypart	noun
book	kirja	tool	noun
bookcase	kirjahylly	furniture	noun
boomerang	bumerangi	sport	noun
boot	saapas	clothing	noun
bottle	pullo	container	noun
bouquet	kukkakimppu	artifact	noun
bow	jousipyssy	weapon	noun
bowl	kulho	container	noun
box	laatikko	container	noun
bra	rintaliivit	clothing	noun
bracelet	rannekoru	clothing	noun
brandy	brandy	drink	noun
bread	leipä	food	noun
brick	tiili	artifact	noun
bridge	silta	building	noun
broccoli	parsakaali	vegetable	noun
brochure	mainos	text	noun
broom	luuta	tool	noun
brush	harja	tool	noun
brussel_sprouts	ruusukaali	vegetable	noun
bucket	ämpäri	container	noun
buckle	solki	clothing	noun
budgie	undulaatti	bird	noun
buffalo	puhveli	animal	noun
buggy	vaunut	vehicle	noun
bullet	luoti	weapon	noun
bus	bussi	vehicle	noun
butter	voi	food	noun
buttercup	leinikki	plant	noun
butterfly	perhonen	insect	noun
button	nappi	tool	noun
buzzard	haukka	bird	noun
cabbage	kaali	vegetable	noun
cage	häkki	place	noun
cake	kakku	food	noun
calf	vasikka	animal	noun
