id	fin_name	eng_name	category	word_class	aaltoprod	aalto85	cslb	mcrae	vinson	cmu	w2v_fin	w2v_eng	homonym_fin	homonym_eng	COMMENT
2	hyväksyä	accept	exchange	noun					ACCEPT_actionV						
5	kipu	ache	action	noun					ACHE_actionN						
6	sattua	ache	Body-sense	verb					ACHE_actionV						
8	hankkia	acquire	exchange	noun					ACQUIRE_actionV						
10	myöntää	admit	communication	noun					ADMIT_actionV						
12	neuvoa	advice	communication	noun					ADVISE_actionV						
13	lentokone	airplane	vehicle	noun	lentokone		aeroplane	airplane	AIRPLANE_object	airplane	lento#kone	airplane			
23	nilkka	ankle	bodypart	noun					ANKLE_object	ankle	nilkka	ankle			
30	omena	apple	fruit	noun	omena		apple	apple	APPLE_object	apple	omena	apple			
33	lähestymistapa	approach	action	noun					APPROACH_actionN						
34	lähestyä	approach	Motion-direction	noun					APPROACH_actionV						
39	riidellä	argue	communication	noun					ARGUE_actionV						
40	käsivarsi	arm	bodypart	noun			arm		ARM_object	arm	käsi#varsi	arm			
45	saapuminen	arrival	action	noun					ARRIVAL_actionN						
46	saapua	arrive	Motion-direction	noun					ARRIVE_actionV						
48	artisokka	artichoke	vegetable	noun	artisokka		artichoke		ARTICHOKE_object	artichoke	artisokka	artichoke			
49	nousta	ascend	Motion-direction	noun					ASCEND_actionV						
50	nousu	ascent	action	noun					ASCENT_actionN						
52	kysyä	ask	communication	noun					ASK_actionV						
53	parsa	asparagus	vegetable	noun	parsa		asparagus	asparagus	ASPARAGUS_object	asparagus	parsa	asparagus			
58	munakoiso	aubergine	vegetable	noun			aubergine	eggplant	EGGPLANT_object	eggplant	muna#koiso	aubergine			
63	kirves	axe	tool	noun	kirves		axe	axe	AXE_object	axe	kirves	axes			
75	leipoa	bake	cooking	verb					BAKE_actionV						
78	banaani	banana	fruit	noun	banaani		banana	banana	BANANA_object	banana	banaani	banana			
86	haukkua	bark	Noise-animal	verb					BARK_actionV						
102	nokka	beak	bodypart	noun					BEAK_object	beak	nokka	beak			
103	papu	bean	vegetable	noun	papu		bean	beans	BEAN_object	bean	papu	bean			
104	karhu	bear	animal	noun	karhu	karhu	bear	bear	BEAR_object	bear	karhu	bear			
119	vyö	belt	clothing	noun			belt	belt	BELT_object	belt	vyö	belt			
121	taittua	bend	Change-state	verb					BEND_actionV						
125	polkupyörä	bicycle	vehicle	noun	polkupyörä		bicycle	bike	BICYCLE_object	bicycle	polku#pyörä	bicycle			
130	lintu	bird	bird	noun					BIRD_object	bird	lintu	bird			
136	vuotaa verta	bleed	action	verb					BLEED_actionV		vuotaa	bleed			
137	sekoittua	blend 	Change-state	noun					BLEND_actionV						
139	silmänräpäys	blink	action	noun					BLINK_actionN						
140	räpäyttää silmiä	blink	Body-action	verb					BLINK_actionV						
143	pusero	blouse	clothing	noun	pusero		blouse	blouse	BLOUSE_object	blouse	pusero	blouse			
149	vene	boat	vehicle	noun	vene	vene	boat	boat	BOAT_object	boat	vene	boat			
151	kiehua	boil	cooking	verb					BOIL_actionV						
153	pommi	bomb	weapon	noun	pommi		bomb	bomb	BOMB_object	bomb	pommi	bomb			
154	pommittaa	bomb	action	verb					BOMB_actionV						
155	pommitus	bombardment	other	noun					BOMBARDMENT_actionN						
157	kirja	book	text	noun	kirja	kirja	book	book	BOOK_object	book	kirja	book			
162	lainata	borrow	action	verb					BORROW_actionV						
164	pomppia	bounce	action	verb					BOUNCE_actionV		pomppia	bounce			
