eng_name	fin_name	category	word_class
accept	hyväksyä	exchange	noun
ache	särky	action	noun
ache	särkeä	Body-sense	verb
acquire	hankkia	exchange	noun
admit	myöntää	action	noun
advice	neuvoa	action	noun
airplane	lentokone	vehicle	noun
ankle	nilkka	bodypart	noun
apple	omena	fruit	noun
approach	lähestymistapa	action	noun
approach	lähestyä	Motion-direction	noun
argue	väitellä	action	noun
arm	käsivarsi	bodypart	noun
arrival	saapuminen	action	noun
arrive	saapua	Motion-direction	noun
artichoke	artisokka	vegetable	noun
ascend	nousta	Motion-direction	noun
ascent	nousu	action	noun
ask	kysyä	action	noun
asparagus	parsa	vegetable	noun
aubergine	munakoiso	vegetable	noun
axe	kirves	tool	noun
bake	leipoa	cooking	verb
banana	banaani	fruit	noun
bark	haukkua	Noise-animal	verb
beak	nokka	bodypart	noun
bean	papu	vegetable	noun
bear	karhu	animal	noun
belt	vyö	clothing	noun
bend	taipua	Change-state	verb
bicycle	polkupyörä	vehicle	noun
bird	lintu	bird	noun
bleed	vuotaa verta	action	verb
blend 	sekoittua	Change-state	noun
blink	silmänräpäys	action	noun
blink	räpäyttää	Body-action	verb
blouse	pusero	clothing	noun
boat	vene	vehicle	noun
boil	kiehua	cooking	verb
bomb	pommi	weapon	noun
bomb	pommittaa	action	verb
bombardment	pommitus	abstract_low	noun
book	kirja	tool	noun
borrow	lainata	action	verb
bounce	pomppia	action	verb
box	laatikko	container	noun
break	rikkoa	action	verb
breathe	hengittää	action	verb
broccoli	parsakaali	vegetable	noun
broom	luuta	tool	noun
brush	harja	tool	noun
brush	harjata	action	verb
build 	rakentaa	action	verb
bump 	törmätä	action	verb
burn 	palaa	nature	verb
burp	röyhtäys	action	noun
burp	röyhtäistä	Body-action	verb
bus	bussi	vehicle	noun
buy	ostaa	action	verb
cabbage	kaali	vegetable	noun
call	soittaa	action	verb
call	kutsu	abstract_low	noun
camel	kameli	animal	noun
car	auto	vehicle	noun
carpet	kokolattiamatto	furniture	noun
carrot	porkkana	vegetable	noun
carry	kantaa	action	verb
cat	kissa	animal	noun
cauliflower	kukkakaali	vegetable	noun
ceiling	sisäkatto	furniture	noun
celery	selleri	vegetable	noun
chair	tuoli	furniture	noun
challenge	haaste	action	noun
chase	jahdata	action	verb
chat	jutella	action	verb
chat	keskustelu	action	noun
cherry	kirsikka	fruit	noun
chime	kello	artifact	noun
chime	soida	action	verb
chin	leuka	bodypart	noun
chirp	visertää	action	verb
chirp	viserrys	action	noun
chisel	taltta	tool	noun
chop	pilkkoa	action	verb
clang	helähdys	action	noun
clang	kilauttaa	action	verb
clash	yhteenotto	action	noun
clatter	kolista	action	verb
clatter	kolina	action	noun
coat	takki	clothing	noun
comb	kampa	tool	noun
come	tulla	action	verb
command	käsky	action	noun
command	käskeä	action	verb
construct	rakentaa	action	verb
construction	rakennelma	place	noun
cook	laittaa ruokaa	cooking	verb
corn	maissi	vegetable	noun
couch	sohva	furniture	noun
cough	yskiä	action	verb
cough	yskä	action	noun
cow	lehmä	animal	noun
crackle	rätistä	action	verb
crackle	rätinä	action	noun
crash	törmätä	action	verb
crash	törmäys	action	noun
creep	hiipiä	action	verb
crowbar	sorkkarauta	tool	noun
cry	itkeä	action	verb
cry	itku	action	noun
cucumber	kurkku	vegetable	noun
curtains	verhot	furniture	noun
cut	leikata	action	noun
dagger	tikari	weapon	noun
demand	vaatimus	abstract_high	noun
demand	vaatia	action	verb
descend	laskeutua	action	verb
descent	laskeutuminen	action	noun
destroy	tuhota	action	verb
destruction	tuhoaminen	action	noun
die	kuolla	action	verb
dive	sukeltaa	action	verb
dog	koira	animal	noun
donate	lahjoittaa	action	verb
donation	lahjoitus	abstract_high	noun
donkey	aasi	animal	noun
door	ovi	furniture	noun
doorknob	ovenkahva	artifact	noun
drag 	raahata	action	verb
draw	piirtää	action	verb
dress	mekko	clothing	noun
drill	pora	tool	noun
drill	porata	action	verb
drink	juoda	action	verb
drive	ajaa	action	verb
drool	kuolata	action	verb
drop	tiputtaa	action	verb
duck	ankka	animal	noun
dustpan	rikkalapio	tool	noun
ear	korva	bodypart	noun
eat	syödä	action	verb
eject	heittää ulos	action	verb
elbow	kyynärpää	bodypart	noun
elephant	norsu	animal	noun
empty	tyhjentää	action	verb
enter	mennä sisään	action	verb
entry	sisääntulo	abstract_low	noun
escape	pako	action	noun
escape	paeta	action	verb
