eng_name	fin_name	category	word_class
academy	akatemia	abstract_high	noun
accident	onnettomuus	abstract_mid	noun
accordion	harmonikka	instrument	noun
acorn	tammenterho	plant	noun
actress	näyttelijä	human	noun
advantage	etu	abstract_high	noun
airplane	lentokone	vehicle	noun
age	ikä	abstract_high	noun
aisle	käytävä	building	noun
album	albumi	text	noun
alcohol	alkoholi	drink	noun
alley	kuja	place	noun
alligator	alligaattori	animal	noun
almond	manteli	fruit	noun
ambulance	ambulanssi	vehicle	noun
anchor	ankkuri	tool	noun
ankle	nilkka	bodypart	noun
ant	muurahainen	insect	noun
antelope	antilooppi	animal	noun
antique	antiikki	abstract_high	noun
apartment	asunto	building	noun
ape	ihmisapina	animal	noun
appendix	liite	abstract_mid	noun
apple	omena	fruit	noun
appliance	laite	appliance	noun
application	sovellus	abstract_high	noun
apricot	aprikoosi	fruit	noun
apron	esiliina	clothing	noun
aquarium	akvaario	place	noun
arch	kaari	abstract_low	noun
arm	käsivarsi	bodypart	noun
armchair	nojatuoli	furniture	noun
armour	panssari	weapon	noun
armrest	käsinoja	furniture	noun
army	armeija	abstract_mid	noun
arrow	nuoli	tool	noun
artichoke	artisokka	vegetable	noun
ashtray	tuhkakuppi	container	noun
asparagus	parsa	vegetable	noun
asphalt	asfaltti	material	noun
aspirin	aspiriini	medicine	noun
atom	atomi	abstract_low	noun
attic	ullakko	place	noun
aubergine	munakoiso	vegetable	noun
auditorium	audiotorio	place	noun
author	kirjailija	human	noun
avenue	puistokatu	place	noun
avocado	avokado	fruit	noun
axe	kirves	tool	noun
axle	akseli	tool	noun
baby	vauva	person	noun
back	selkä	bodypart	noun
background	tausta	abstract_mid	noun
backpack	reppu	accessory	noun
bacon	pekoni	food	noun
bacterium	bakteeri	abstract_mid	noun
badge	nimikyltti	accessory	noun
bag	laukku	accessory	noun
bagel	bagel	food	noun
bagpipe	säkkipilli	instrument	noun
ball	pallo	sport	noun
balloon	ilmapallo	toy	noun
banana	banaani	fruit	noun
band	bändi	social	noun
bandage	side	medicine	noun
banjo	banjo	instrument	noun
bank	pankki	place	noun
banner	tunnus	abstract_low	noun
barge	proomu	vehicle	noun
barn	aitta	place	noun
barrel	tynnyri	container	noun
basement	kerros	place	noun
basket	kori	sport	noun
bath	kylpy	abstract_low	noun
bathrobe	kylpytakki	clothing	noun
bathtub	kylpyamme	furniture	noun
baton	pamppu	weapon	noun
bay	lahti	nature	noun
bayonet	pistin	weapon	noun
bazooka	sinko	weapon	noun
beach	uimaranta	nature	noun
beak	nokka	bodypart	noun
bean	papu	vegetable	noun
bear	karhu	animal	noun
beard	parta	bodypart	noun
beauty	kauneus	abstract_high	noun
beaver	majava	animal	noun
bed	sänky	furniture	noun
bedroom	makuuhuone	place	noun
bee	mehiläinen	insect	noun
beef	naudanliha	food	noun
beehive	mehiläispesä	nature	noun
beer	olut	drink	noun
beet	juurikas	vegetable	noun
beetle	kovakuoriainen	insect	noun
bell	soittokello	instrument	noun
bellows	palje	tool	noun
belly	maha	bodypart	noun
belt	vyö	clothing	noun
bench	penkki	furniture	noun
berry	marja	fruit	noun
beverage	virvoitusjuoma	drink	noun
bible	raamattu	text	noun
bicycle	polkupyörä	vehicle	noun
bikini	bikini	clothing	noun
billboard	mainostaulu	text	noun
bin	roskakori	furniture	noun
birch	koivu	plant	noun
bird	lintu	bird	noun
biscuit	keksi	food	noun
bison	biisoni	animal	noun
blackbird	mustarastas	bird	noun
blade	terä	tool	noun
blanket	huopa	artifact	noun
blender	tehosekoitin	appliance	noun
blood	veri	bodypart	noun
blossom	kukinta	plant	noun
blouse	pusero	clothing	noun
blueberry	mustikka	fruit	noun
bluebird	sinikka	bird	noun
bluejay	sinitöyhtönärhi	bird	noun
blackboard	liitutaulu	furniture	noun
board	taulu	furniture	noun
boat	vene	vehicle	noun
body	ruumis	bodypart	noun
bolts	pultti	tool	noun
bomb	pommi	weapon	noun
bone	luu	bodypart	noun
book	kirja	tool	noun
bookcase	kirjahylly	furniture	noun
boomerang	bumerangi	sport	noun
boot	saapas	clothing	noun
bottle	pullo	container	noun
boulder	lohkare	nature	noun
bouquet	kukkakimppu	artifact	noun
bowl	kulho	container	noun
box	laatikko	container	noun
boy	poika	human	noun
bra	rintaliivit	clothing	noun
bracelet	rannekoru	clothing	noun
brain	aivot	bodypart	noun
brake	jarru	tool	noun
branch	haara	abstract_high	noun
brandy	brandy	drink	noun
bread	leipä	food	noun
break	tauko	abstract_high	noun
breakfast	aamiainen	food	noun
breast	rinta	bodypart	noun
breath	hengitys	abstract_low	noun
breeze	tuulahdus	nature	noun
brick	tiili	artifact	noun
bridge	silta	building	noun
briefcase	salkku	accessory	noun
broccoli	parsakaali	vegetable	noun
brochure	mainos	text	noun
bronze	pronssi	material	noun
broom	luuta	tool	noun
brush	harja	tool	noun
brussel_sprouts	ruusukaali	vegetable	noun
bubble	kupla	abstract_low	noun
bucket	ämpäri	container	noun
buckle	solki	clothing	noun
budgie	undulaatti	bird	noun
buffalo	puhveli	animal	noun
buggy	vaunut	vehicle	noun
building	rakennus	place	noun
bull	sonni	animal	noun
bulldozer	puskutraktori	vehicle	noun
bullet	luoti	weapon	noun
bumper	puskuri	artifact	noun
bungalow	bungalow	place	noun
bureau	virasto	place	noun
burner	poltin	appliance	noun
bus	bussi	vehicle	noun
bush	puska	plant	noun
butter	voi	food	noun
buttercup	leinikki	plant	noun
butterfly	perhonen	insect	noun
buttocks	pakara	bodypart	noun
button	nappi	tool	noun
buzzard	haukka	bird	noun
cabbage	kaali	vegetable	noun
cabin	hytti	place	noun
cabinet	vaatehuone	place	noun
cactus	kaktus	plant	noun
cafe	kahvila	place	noun
cage	häkki	place	noun
cake	kakku	food	noun
calculator	laskin	appliance	noun
calf	vasikka	animal	noun
camel	kameli	animal	noun
camera	kamera	appliance	noun
camisole	aluspaita	clothing	noun
camp	leiri	building	noun
can_opener	tölkinavaaja	tool	noun
canal	kanaali	place	noun
canary	kanarialintu	bird	noun
cancer	syöpä	medicine	noun
candle	kynttilä	artifact	noun
candy	karkki	food	noun
cannon	tykki	weapon	noun
canoe	kanootti	vehicle	noun
cantaloupe	verkkomeloni	fruit	noun
canteen	kantiini	place	noun
capitol	capitol	place	noun
car	auto	vehicle	noun
caravan	matkailuauto	vehicle	noun
card	kortti	text	noun
caribou	karibu	animal	noun
carnation	tarhaneilikka	plant	noun
carp	karppi	waterlife	noun
carpet	kokolattiamatto	furniture	noun
carriage	vaunu	vehicle	noun
carrot	porkkana	vegetable	noun
cart	ostoskärry	vehicle	noun
carton	kartonki	tool	noun
cash	käteinen	abstract_low	noun
cast	kipsi	medicine	noun
castanets	kastanjetit	instrument	noun
castle	linna	building	noun
cat	kissa	animal	noun
catalogue	katalogi	text	noun
catapault	katapultti	weapon	noun
caterpillar	perhosentoukka	insect	noun
catfish	monni	waterlife	noun
cathedral	katedraali	place	noun
cattle	karja	animal	noun
cauliflower	kukkakaali	vegetable	noun
cave	luola	nature	noun
cd	cd	artifact	noun
cedar	setri	plant	noun
ceiling	sisäkatto	furniture	noun
celery	selleri	vegetable	noun
cellar	kellari	place	noun
cello	sello	instrument	noun
