id	fin_name	eng_name	category	word_class	aaltoprod	aalto85	cslb	mcrae	vinson	cmu	w2v_fin	w2v_eng	homonym_fin	homonym_eng	COMMENT
1	akatemia	academy	abstract	noun						academy	akatemia	academy			
2	onnettomuus	accident	abstract	noun	onnettomuus						onnettomuus	accident			
3	harmonikka	accordion	instrument	noun			accordion	accordion		accordion	harmonikka	accordion			
4	tammenterho	acorn	plant	noun						acorn	tammenterho	acorn			
5	näyttelijä	actress	person	noun	näyttelijä						näyttelijä	actress			
6	etu	advantage	abstract	noun	etu	etu					etu	advantage			
7	lentokone	airplane	vehicle	noun	lentokone		aeroplane	airplane	AIRPLANE_object	airplane	lento#kone	airplane			
8	ikä	age	abstract	noun	ikä	ikä					ikä	age			
9	käytävä	aisle	other	noun						aisle	käytävä	aisle			category
10	albumi	album	text	noun	albumi						albumi	album			
11	alkoholi	alcohol	drink	noun						alcohol	alkoholi	alcohol			
12	kuja	alley	place	noun						alley	kuja	alley			
13	alligaattori	alligator	animal	noun			alligator	alligator		alligator	alligaattori	alligator			
14	manteli	almond	fruit	noun						almond	manteli	almond			
15	ambulanssi	ambulance	vehicle	noun			ambulance	ambulance		ambulance	ambulanssi	ambulance			
16	ankkuri	anchor	tool	noun			anchor	anchor		anchor	ankkuri	anchor			
17	nilkka	ankle	bodypart	noun						ankle	nilkka	ankle			
18	muurahainen	ant	insect	noun			ant	ant		ant	muurahainen	ant			
19	antilooppi	antelope	animal	noun						antelope	antilooppi	antelope			
20	antiikki	antique	abstract	noun						antique	antiikki	antique			Category?
21	asunto	apartment	place	noun	asunto			apartment		apartment	asunto	apartment			
22	ihmisapina	ape	animal	noun						ape	ihmis#apina	ape			
23	liite	appendix	abstract	noun	liite	liite					liite	appendix			
24	omena	apple	fruit	noun	omena		apple	apple	APPLE_object	apple	omena	apple			
25	laite	appliance	appliance	noun						appliance	laite	appliance			
26	sovellus	application	abstract	noun	sovellus						sovellus	application			
27	aprikoosi	apricot	fruit	noun			apricot				aprikoosi	apricot			
28	esiliina	apron	clothing	noun			apron	apron			esi#liina	apron			
29	akvaario	aquarium	place	noun						aquarium	akvaario	aquarium			ambiguous
30	kaari	arch	other	noun						arch	kaari	arch			
31	käsivarsi	arm	bodypart	noun			arm		ARM_object	arm	käsi#varsi	arm			
32	nojatuoli	armchair	furniture	noun			armchair				noja#tuoli	armchair			
33	panssari	armour	other	noun			armour	armour			panssari	armor			
34	käsinoja	armrest	furniture	noun						armrest	käsi#noja	armrest			
35	armeija	army	abstract	noun	armeija	armeija					armeija	army			
36	nuoli	arrow	tool	noun			arrow			arrow	nuoli	arrow			ambiguous category
37	artisokka	artichoke	vegetable	noun	artisokka		artichoke		ARTICHOKE_object	artichoke	artisokka	artichoke			
38	tuhkakuppi	ashtray	container	noun			ashtray	ashtray		ashtray	tuhka#kuppi	ashtray			
39	parsa	asparagus	vegetable	noun	parsa		asparagus	asparagus	ASPARAGUS_object	asparagus	parsa	asparagus			
40	asfaltti	asphalt	material	noun						asphalt	asfaltti	asphalt			
41	aspiriini	aspirin	medicine	noun			aspirin			aspirin	aspiriini	aspirin			
42	atomi	atom	other	noun						atom	atomi	atom			
43	ullakko	attic	place	noun						attic	ullakko	attic			
44	munakoiso	aubergine	vegetable	noun			aubergine	eggplant	EGGPLANT_object	eggplant	muna#koiso	aubergine			
45	audiotorio	auditorium	place	noun						auditorium	audiotorio	auditorium			
46	kirjailija	author	person	noun	kirjailija						kirjailija	author			
47	puistokatu	avenue	place	noun						avenue	puisto#katu	avenue			
48	avokado	avocado	fruit	noun			avocado	avocado			avokado	avocado			
49	kirves	axe	tool	noun	kirves		axe	axe	AXE_object	axe	kirves	axes			
50	akseli	axle	tool	noun						axle	akseli	axle			
51	vauva	baby	person	noun						baby	vauva	baby			
52	selkä	back	bodypart	noun	selkä	selkä				back	selkä	back			
53	tausta	background	abstract	noun	tausta	tausta					tausta	background			
54	reppu	backpack	accessory	noun						backpack	reppu	backpack			
55	pekoni	bacon	food	noun			bacon			bacon	pekoni	bacon			
56	bakteeri	bacterium	medicine	noun	bakteeri	bakteeri					bakteeri	bacterium			category
57	nimikyltti	badge	accessory	noun			badge				nimi#kyltti	badge			
58	laukku	bag	accessory	noun			bag	bag			laukku	bag			
59	bagel	bagel	food	noun						bagel	bagel	bagel			
60	säkkipilli	bagpipe	instrument	noun			bagpipes	bagpipe			säkki#pilli	bagpipe			
61	pallo	ball	sport	noun	pallo	pallo	ball	ball		ball	pallo	ball			
62	ilmapallo	balloon	toy	noun			balloon	balloon		balloon	ilma#pallo	balloon			
63	banaani	banana	fruit	noun	banaani		banana	banana	BANANA_object	banana	banaani	banana			
64	bändi	band	social	noun						band	bändi	band			
65	side	bandage	medicine	noun						bandage	side	bandage			
66	banjo	banjo	instrument	noun			banjo	banjo			banjo	banjo			
67	pankki	bank	place	noun						bank	pankki	bank			
68	tunnus	banner	other	noun				banner			tunnus	banner			category
69	proomu	barge	vehicle	noun			barge				proomu	barge			
70	tuohi	bark	nature	noun						bark	tuohi	bark			
71	aitta	barn	place	noun				barn		barn	aitta	barn			
72	tynnyri	barrel	artifact	noun			barrel	barrel		barrel	tynnyri	barrel			
73	kerros	basement	place	noun				basement		basement	kellari#kerros	basement			
74	lavuaari	basin	furniture	noun			basin			basin	lavuaari	basin			
75	kori	basket	sport	noun			basket	basket		basket	kori	basket			
76	lepakko	bat	animal	noun			bat_(animal)	bat_(animal)			lepakko	bat			homonym
77	maila	bat	sport	noun			bat_(sporting)	bat_(baseball)			maila				homonym
78	kylpy	bath	other	noun			bath				kylpy	bath			
79	kylpytakki	bathrobe	clothing	noun						bathrobe	kylpy#takki	bathrobe			
80	kylpyamme	bathtub	furniture	noun				bathtub		bathtub	kylpy#amme	bathtub			
81	pamppu	baton	weapon	noun				baton			pamppu	baton			
82	lahti	bay	nature	noun						bay	lahti	bay			
83	pistin	bayonet	weapon	noun			bayonet	bayonet			pistin	bayonet			
84	sinko	bazooka	weapon	noun				bazooka			sinko	bazooka			
85	uimaranta	beach	nature	noun						beach	uima#ranta	beach			
86	nokka	beak	bodypart	noun						beak	nokka	beak			
87	papu	bean	vegetable	noun	papu		bean	beans	BEAN_object	bean	papu	bean			
88	karhu	bear	animal	noun	karhu	karhu	bear	bear	BEAR_object	bear	karhu	bear			
89	parta	beard	bodypart	noun						beard	parta	beard			
90	kauneus	beauty	abstract	noun	kauneus	kauneus					kauneus	beauty			
91	majava	beaver	animal	noun			beaver	beaver			majava	beaver			
92	sänky	bed	furniture	noun			bed	bed		bed	sänky	bed			
93	makuuhuone	bedroom	place	noun				bedroom		bedroom	makuu#huone	bedroom			
94	mehiläinen	bee	insect	noun			bee			bee	mehiläinen	bee			
95	naudanliha	beef	food	noun						beef	naudan#liha	beef			
96	mehiläispesä	beehive	nature	noun				beehive			mehiläis#pesä	beehive			
97	olut	beer	drink	noun			beer			beer	olut	beer			
98	juurikas	beet	vegetable	noun				beets		beet	juurikas	beet			
99	kovakuoriainen	beetle	insect	noun			beetle	beetle		beetle	kovakuoriainen	beetle			
100	soittokello	bell	instrument	noun			bell			bell	soitto#kello	bell			
101	palje	bellows	tool	noun			bellows				palje	bellows			
102	maha	belly	bodypart	noun						belly	maha	belly			
103	vyö	belt	clothing	noun			belt	belt	BELT_object	belt	vyö	belt			
104	penkki	bench	furniture	noun			bench	bench		bench	penkki	bench			
105	marja	berry	fruit	noun						berry	marja	berry			
106	virvoitusjuoma	beverage	food	noun						beverage	virvoitus#juoma	beverage			
107	raamattu	bible	art	noun						bible	raamattu	bible			
108	polkupyörä	bicycle	vehicle	noun	polkupyörä		bicycle	bike	BICYCLE_object	bicycle	polku#pyörä	bicycle			
109	bikini	bikini	clothing	noun			bikini				bikini	bikini			
110	mainostaulu	billboard	art	noun						billboard	mainos#taulu	billboard			
111	roskakori	bin	furniture	noun			bin	bin_(waste)		bin	roska#kori	bin			
112	koivu	birch	plant	noun			birch	birch		birch	koivu	birch			
113	lintu	bird	bird	noun					BIRD_object	bird	lintu	bird			
114	keksi	biscuit	food	noun			biscuit	biscuit		biscuit	keksi	biscuit			
115	biisoni	bison	animal	noun				bison			biisoni	bison			
116	mustarastas	blackbird	bird	noun				blackbird			mustarastas	blackbird			
117	terä	blade	tool	noun						blade	terä	blade			
118	huopa	blanket	artifact	noun						blanket	huopa	blanket			
119	vuotaa verta	bleed	action	verb					BLEED_actionV		vuotaa	bleed			
120	tehosekoitin	blender	appliance	noun			blender	blender			teho#sekoitin	blender			
121	veri	blood	bodypart	noun	veri					blood	veri	blood			
122	kukinta	blossom	plant	noun						blossom	kukinta	blossom			
123	pusero	blouse	clothing	noun	pusero		blouse	blouse	BLOUSE_object	blouse	pusero	blouse			
124	mustikka	blueberry	fruit	noun			blueberry	blueberry		blueberry	mustikka	blueberry			
125	sinikka	bluebird	bird	noun						bluebird	sinikka	bluebird			
126	sinitöyhtönärhi	bluejay	bird	noun				bluejay			varpus#lintu	bluejay			No specific word in the Finnish corpus
127	liitutaulu	blackboard	furniture	noun				board_(black)		chalkboard	liitu#taulu	blackboard			
128	taulu	board	furniture	noun				board_(wood)			taulu	board			
129	vene	boat	vehicle	noun	vene	vene	boat	boat	BOAT_object	boat	vene	boat			
130	ruumis	body	bodypart	noun						body	ruumis	body			
131	pultti	bolts	tool	noun			bolts	bolts			pultti	bolts			
132	pommi	bomb	weapon	noun	pommi		bomb	bomb		bomb	pommi	bomb			
133	luu	bone	bodypart	noun			bone			bone	luu	bone			
134	kirja	book	text	noun	kirja	kirja	book	book		book	kirja	book			
135	kirjahylly	bookcase	furniture	noun			bookcase	bookcase			kirja#hylly	bookcase			
136	bumerangi	boomerang	sport	noun			boomerang				bumerangi	boomerang			
137	saapas	boot	clothing	noun			boots	boots		boot	saapas	boot			
138	pullo	bottle	container	noun			bottle	bottle		bottle	pullo	bottle			
139	lohkare	boulder	nature	noun						boulder	lohkare	boulder			
140	pomppia	bounce	action	verb					BOUNCE_actionV		pomppia	bounce			
141	kukkakimppu	bouquet	artifact	noun			bouquet	bouquet		bouquet	kukka#kimppu	bouquet			category
142	rusetti	bow	clothing	noun				bow_(ribbon)			rusetti	bow			homonym
143	jousipyssy	bow	weapon	noun			bow_(weapon)	bow_(weapon)			jousi#pyssy				homonym
144	kulho	bowl	container	noun			bowl	bowl		bowl	kulho	bowl			
145	laatikko	box	container	noun	laatikko		box	box		box	laatikko	box			
146	poika	boy	person	noun	poika					boy	poika	boy			
