eng_name	fin_name	category	word_class
advantage	etu	abstract_high	noun
age	ikä	abstract_high	noun
appendix	liite	abstract_mid	noun
army	armeija	abstract_mid	noun
back	selkä	bodypart	noun
background	tausta	abstract_mid	noun
bacterium	bakteeri	abstract_mid	noun
ball	pallo	sport	noun
bear	karhu	animal	noun
beauty	kauneus	abstract_high	noun
boat	vene	vehicle	noun
book	kirja	tool	noun
break	tauko	abstract_high	noun
bridge	silta	building	noun
bus	bussi	vehicle	noun
car	auto	vehicle	noun
castle	linna	building	noun
cat	kissa	animal	noun
change	muutos	abstract_high	noun
child	lapsi	human	noun
church	kirkko	building	noun
cloud	pilvi	nature	noun
comb	kampa	tool	noun
democracy	demokratia	abstract_high	noun
dog	koira	animal	noun
drill	pora	tool	noun
duck	ankka	animal	noun
eagle	kotka	animal	noun
ear	korva	bodypart	noun
eruption	purkaus	abstract_mid	noun
evidence	todiste	abstract_mid	noun
experience	kokemus	abstract_high	noun
expression	ilme	abstract_mid	noun
eye	silmä	bodypart	noun
factory	tehdas	building	noun
faith	kohtalo	abstract_high	noun
finger	sormi	bodypart	noun
fire	tuli	nature	noun
freedom	vapaus	abstract_high	noun
friction	kitka	abstract_mid	noun
gene	geeni	abstract_mid	noun
hand	käsi	bodypart	noun
history	historia	abstract_high	noun
horse	hevonen	animal	noun
hunting	metsästys	abstract_mid	noun
ideology	aate	abstract_high	noun
infection	infektio	abstract_mid	noun
inflation	inflaatio	abstract_high	noun
internet	internet	abstract_mid	noun
investment	sijoitus	abstract_high	noun
island	saari	nature	noun
jail	vankila	building	noun
judge	tuomari	human	noun
king	kuningas	human	noun
knowledge	tieto	abstract_high	noun
leg	jalka	bodypart	noun
library	kirjasto	building	noun
lion	leijona	animal	noun
lip	huuli	bodypart	noun
logic	logiikka	abstract_high	noun
magic	taika	abstract_high	noun
marking	merkintä	abstract_mid	noun
meaning	merkitys	abstract_high	noun
merit	meriitti	abstract_high	noun
money	raha	abstract_high	noun
morning	aamu	abstract_mid	noun
mountain	vuori	nature	noun
mouse	hiiri	animal	noun
mouth	suu	bodypart	noun
museum	museo	building	noun
music	musiikki	abstract_mid	noun
nature	luonto	abstract_mid	noun
nest	pesä	nature	noun
evening	ilta	abstract_mid	noun
nose	nenä	bodypart	noun
oxygen	happi	abstract_mid	noun
park	puisto	nature	noun
phenomenon	ilmiö	abstract_high	noun
physician	lääkäri	human	noun
game	leikki	abstract_mid	noun
play	näytelmä	abstract_mid	noun
poem	runo	abstract_mid	noun
police	poliisi	human	noun
power	teho	abstract_high	noun
power	valta	abstract_high	noun
pressure	paine	abstract_mid	noun
price	hinta	abstract_mid	noun
priest	pappi	human	noun
prisoner	vanki	human	noun
problem	ongelma	abstract_high	noun
quantity	määrä	abstract_high	noun
reason	järki	abstract_high	noun
reputation	maine	abstract_high	noun
review	arvio	abstract_high	noun
ring	sormus	clothing	noun
river	joki	nature	noun
rock	kallio	nature	noun
saw	saha	tool	noun
scissors	sakset	tool	noun
sea	meri	nature	noun
sheep	lammas	animal	noun
ship	laiva	vehicle	noun
shovel	lapio	tool	noun
size	koko	abstract_mid	noun
soldier	sotilas	human	noun
song	laulu	abstract_mid	noun
speech	puhe	abstract_mid	noun
spoon	lusikka	tool	noun
teacher	opettaja	human	noun
team	joukkue	abstract_mid	noun
temple	temppeli	building	noun
timing	ajoitus	abstract_high	noun
toe	varvas	bodypart	noun
tower	torni	building	noun
train	juna	vehicle	noun
truck	rekka	vehicle	noun
wave	aalto	nature	noun
weight	paino	abstract_mid	noun
will	tahto	abstract_high	noun
wolf	susi	animal	noun
work	teos	abstract_mid	noun
youth	nuoruus	abstract_high	noun
